movie,sentence,score
서치 2,111분 동안 잠시도 눈을 뗄 수 없었네요 서치3도 만들어 주세요,10
컨버세이션,"홍상수 감독님 영화 보다 보면 뜬금없이 인간 심리의 어떤 핵심을 꿰뚫는 대화들이 나오는 경우가 있습니다(제가 정말 좋아하는 순간들).. 근데 이 영화에 그 최고의 대화들에 못지 않는, 오히려 더 감탄하게 하기도 하는 대화들이 수두룩하게 나옵니다.. 그걸 모든 배우들이 완전한 자기 연기로 표현해 내는 대단한 영화..",10
니 부모 얼굴이 보고 싶다,법정 나오는 영화치고는 좀 많이 허술하고 엉성한 면이 보인다.,3
앤트맨과 와스프: 퀀텀매니아,재미가있다재미가있어,10
바빌론,근래에 본 영화 중에서 가장 기억에 남는다.,10
마루이 비디오,목두기비디오랑 똑같음,1
레미제라블,가장 좋아하는 영화...,10
서치 2,10대의 현란한 서칭 능력이 정신없지만 그것이 오히려 계속 긴장감을 유지시키는듯,7
카운트,유쾌 상쾌 통쾌 재밌게 잘봤어용,8
더 퍼스트 슬램덩크,최고의 작품입니다.흠잡을때가없네,10
서치 2,1보다 재밌음 꼭 보세요,10
다음 소희,모든 국민이 꼭 봐야할 영화.. 아직도 가슴이 먹먹합니다.,10
카운트,찬찬하면서 웃음을 주는 영화무거운 실화를 단백하게 표현한 영화실화를 바탕으로 한 영화라..더 감동입니다.세상은 공평하다..그런 느낌이 들었어요...금메달을 걸어도 좋지만은 안구나..스포츠는 정직합니다..,8
서치 2,1만큼 재밌게 봤어요~~ 요즘 친구들 참 대단..^^,10
서치 2,너무 재밌어요! 강추합니당,10
서치 2,이 정도면 시리즈로 계속 나와줘도 좋을 듯ㅋㅋㅋ 속편이라 볼까 말까 했는데 보길 잘했네,10
서치 2,1을 너무 재밌게 봤는데 2는 전개가 조금 조잡한 느낌. 그래도 꽤 재밌게 봤어요,8
스위치,잘봤습니다~ 삶을 뒤돌아보게되네요~ 연기도 스토리도 감동입니다^^,10
TAR 타르,"만들어진 허구 인물이지만 실제 존재할거같은 베를린 필하모니 거장 타르, 그리고 실화 같은 거장의 몰락.",8
앤트맨과 와스프: 퀀텀매니아,캉은 타노스만큼 임팩트가 크지 않았다원작에선 어마어마한 빌런인데..,8
블랙 팬서: 와칸다 포에버,뭔 액션이 죄다 슬로모션이야..답답해 죽겠어. 시원하지가 않어.,6
앤트맨과 와스프: 퀀텀매니아,기존 작품의 매력이 떨어진 시리즈,7
서치 2,완전 반전의 반전의 반전의 영화 스릴 있고 감동도 있는 재밌는 영화였어요:),10
더 퍼스트 슬램덩크,하 지림 걍 지렸으ㅁ.. 진심 감동 ㄹㅈㄷ,10
영웅,진짜 이거 보고 안우시는 분 없을것같아요ㅠㅠ연기도 진짜 잘하시고 노래도 진짜 잘불러요ㅠ인생 영화! 꼭 한번 보시길 바라겠습니다.,10
서치 2,재밌어요!!! 최근본것중에.처ㅣ고,10
앤트맨과 와스프: 퀀텀매니아,캉이 원래 셉니까? 이영화에선 글쎄요양자 세계 또다른 우주를 보는듯 해 영상미는 훌륭했어요,7
서치 2,랜만에 스릴러다운 영화였달까? 아이폰 유저들이 더 잼나게 볼 듯ㅋㅋㅋㅋ,10
교섭,진짜 드럽게 재미없다. 평론가들 사기꾼들이다. 이게 별3개?! 1점도 아깝다.,1
서치,"기승전결 모두 좋았습니다.와,잠시도 시선을 뗄수없는 몰입감이었네요.스릴러였지만부성애와모성애, 인상깊었습니다.부모님들의 사랑은 위대하단걸 느꼈어요.",10
롤러코스터,너무 웃겨요 ㅋㅋㅋ온가족 유쾌하게 봤네요 ^^,10
앤트맨과 와스프: 퀀텀매니아,블랙팬서 토르보다 훨씬 재미있고 벌써 어벤져스5가 기대되게 만드는 영화,10
교섭,돈아깝고짜증납니다.,2
살인의뢰,결론까지 너무나 돌아갔다. 복수의 절박함이 드러나지 않았던 결말,6
교섭,우리나라 영화는 대부분 배우들 인지도빨... 감독들의 역량이 너무 부족함 ㅡㅡ;,2
놉,외계새명체와 싸운 다는 간단한 이야기를 스릴도 참신함도 없다. 스티브연이 나온다는 것 말고는 흥미 유발없음. ,6
서치 2,완전 집중해서 봤어요!,9
서치 2,스릴있게 잘 만든 영화에요~~,9
앤트맨과 와스프: 퀀텀매니아,와 마블도 이제 망했네진짜 재미 없게 만드네,2
카운트,"웃고, 눈물나고, 감동적!이영화꼭보세요 ^^",10
코만도,아무 생각 없이 보면 즐겁다,7
바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,넷플릭스에 있는 육지수호 대작전 에피소드 편집한거네요 시간이랑 돈이 너무 아깝네요 본걸 돈 내고 또 보다니 ,1
지구를 지켜라!,"진짜 대박이네요,,,많은 생각을하게된 영화입니다...",10
카운트,가볍게 보기 좋아요~! 조금 길게 느껴지긴 했어요 ㅎㅎ ,7
블랙 팬서: 와칸다 포에버,마블영화들이 점점 이상해지고 있어.,5
링컨 : 뱀파이어 헌터,가벼울 것 같았지만 의외로 진중한 이야기,7
블레이드 러너 2049,인간은 자신이 누구인지도 모르면서 최초의 본능이 두려움이지...헐.  공감되는 대사였다,10
폴: 600미터,설정에 왜 굳이 라는 생각은 들지만 스릴 있네요.,8
놉,보고나서 해석을 찾아보게 만드는 영화,6
앤트맨과 와스프: 퀀텀매니아,세상에서 가장 강력한 불면증치료제,1
외계+인 1부,처음에 되게 어수선했는데 시간지나니까 재밌음,10
내일의 기억,니콜키드먼 나온 영화랑 비슷   사고 후 깨어난 여자의 다정한 남편  그리고 반전 ,4
유령,중국영화 풍성을 보세요원조이고 훨 더 재미있어요,6
범죄의 여왕,유쾌한 웰메이드 영화~^^,8
서치 2,빠른 전개와 계속되는 반전에 쉴 틈 없이 보게 되는!!!,10
서치 2,맥북 구매충동 오는 영화다,10
서치 2,진짜 반전이; 대박이네요 진짜 재밌었습니다,10
육사오(6/45),오랜만에 정말 재미있게 본 한국영화였습니다^^,10
아바타: 물의 길,"아주길었지만 스토리,와 모두좋았다!!!!",10
더 퍼스트 슬램덩크,나만 별로였나ㅜㅜ 만화책의 감동을 못살려서 보는내내 지루했음 넘 아쉽…,4
앤트맨과 와스프: 퀀텀매니아,요즘 마블은 먼가 음...  ,1
합약정인,판빙빙이 매우 예뻣던 영화입니다,7
더 퍼스트 슬램덩크,최고최고최고 감동과 재미 둘 다 있음,10
카운트,주연뿐만 아니라 조연까지 캐스팅이 최고였어요가족과함께 웃을 수 있고 감동까지 있어 너무 좋았습니다,10
컨버세이션,담담한 문체로 쓴 단편소설 같은 영화였어요.좋아하는 감독님인데 꼭 흥했으면 좋겠습니다.,10
더 퍼스트 슬램덩크,강백호가 최고였음!!!!,10
천룡팔부: 교봉전,천룡팔부 원작을 못봐서 그러나 이게 대체 뭔 내용이지..?,4
더 스트롱홀드,실화 기반의 괜찮은 영화다  볼만하니 봐라 ,7
두다다쿵: 후후섬의 비밀,아이가 좋아해서 두번 봤어요. 저는 눈물이 좀 났는데.. 다들 그런가요?진정한 극장판이네요 좋았어요!,10
서치 2,심장터질거가타요 1보다 전개가 더 매끄러워요,8
킬 빌 - 1부,최고의 액션영화!!!,10
바빌론,마케팅이 너무 아쉬움.... 이런 좋은 영화를 ㅜㅜ,10
더 퍼스트 슬램덩크,뚫어 뚫어 뚫어 송태섭!,10
더 퍼스트 슬램덩크,뚫어 뚫어 뚫어 송태섭!,10
마루이 비디오,"신선한 소재와 반전있는 스토리, 전 정말 재밌게 보았습니다!",10
트롤,ost가 너무 좋아여아이랑 재밌게 봤어여 ,10
새벽의 저주: 좀비랜드,완벽한 최고의 좀비영화!!!,10
서치 2,서치1을 안봐서 1은 어땠는지 모르겠는데 몰입 쩔고 반전도 쩐다 헤더사무실 갔을 때 긴장돼서 죽을 뻔 했다,10
더 퍼스트 슬램덩크,보다 중간에 집에 가고 싶었던 유일한 영화,2
블랙 아담,기대안하고 봤다가 재밌었습니다 ㅎㅎ 스토리도 좋았어요,10
앤트맨과 와스프: 퀀텀매니아,의리로 보고 왔습니다.,2
앤트맨과 와스프: 퀀텀매니아,아주재미있음ㅁ!!!!,10
서치 2,진짜 너무 너무 너무 재밋어요!! 완전 추천!!!반전의 반전의 반전의 반전...! 식은땀 줄줄 ,10
더 퍼스트 슬램덩크,"농구를 너무 사랑하는 남친따라 갔습니다 엄청 졸린상태루 간거라 자야지 했지만  처음부터 끝까지 눈 부릅 뜨고 봤습니다 소름돋는 포인트가 몇개인가요 진짜 !!! 오늘부터 농구팬 , 슬램덩크 팬 입니다,,",10
카운트,기대없이 갔는데 생각보다 연기너무 잘하고 볼만함,10
스마트폰을 떨어뜨렸을 뿐인데,흔한 칼부림 조폭 영화보단 훨씬 재밌게 봣고 범인 체포되는 과정이나 결말이 좀 급하게 마무리하는 느낌은 있지만 시대에 맞는 범죄물이어서 현실적으로 일어날수 있는 일이라 묻지마 살인처럼 경각심을 느끼게 해주는 점이 좋았던 부분평점 6점으로 느껴지진 않음  내기준엔 8.5점 정도?,9
앤트맨과 와스프: 퀀텀매니아,너무 재미없다. 이딴 걸 영화라고 만들었냐,2
스마트폰을 떨어뜨렸을 뿐인데,"중간 중간 개연성이 부족하나천우희,임시완 연기 너무 좋아서추천하고싶다",8
스마트폰을 떨어뜨렸을 뿐인데,"중간 중간 개연성이 부족하나천우희,임시완 연기 너무 좋아서추천하고싶다",8
카운트,아주 가벼운 마음으로 봤어요 ,10
앤트맨과 와스프: 퀀텀매니아,개연성이 다소 떨어짖만 몇몇 연출을 보고 감탄이 나왔다. 포스있게 등장한 적은 히어로 영화 클리셰답게 마무리됐다,8
컨택트,"내 인생에 다시 생각해보게 되는, 그런 영화",10
앤트맨과 와스프: 퀀텀매니아,개연성이 다소 떨어짖만 몇몇 연출을 보고 감탄이 나왔다. 포스있게 등장한 적은 히어로 영화 클리셰답게 마무리됐다,8
앤트맨과 와스프: 퀀텀매니아,개연성이 다소 떨어짖만 몇몇 연출을 보고 감탄이 나왔다. 포스있게 등장한 적은 히어로 영화 클리셰답게 마무리됐다,8
카운트,아주 가벼운 마음으로 봤어요 ,10
앤트맨과 와스프: 퀀텀매니아,개연성이 다소 떨어짖만 몇몇 연출을 보고 감탄이 나왔다. 포스있게 등장한 적은 히어로 영화 클리셰답게 마무리됐다,8
카운트,아주 가벼운 마음으로 봤어요 ,10
외계+인 1부,2부가  기다려집니다.,10
분노의 화살,이거 영화야?? 활 부러뜨리고싶다,1
서치 2,생각보다 훨 재밌었네요! 반전인 내용도 ㅎㅎ 집중해서 봤어요ㅎㅎ,10
앤트맨과 와스프: 퀀텀매니아,진짜 압도적 스케일과 개미를 연출한 장면은 연출력이 지렸다ㅏㅏ 근데 디플로 보는 거랑 연결 안되면 좋겠다.. 자꾸 찾아보게 되요!,10
카운트,넘잼났습니다  진해인으로써 진선규님화팅!!!유머도있고 감동도있고좋은작품이였습니다,10
